# date	league	home	away	league_id	home_id	away_id	fixture_id
2025-12-31	africa cup of nations	Equatorial Guinea	Algeria	6	1521	1532	1347271
2025-12-31	africa cup of nations	Sudan	Burkina Faso	6	1510	1502	1347272
2025-12-31	africa cup of nations	Gabon	Ivory Coast	6	1503	1501	1347273
2025-12-31	africa cup of nations	Mozambique	Cameroon	6	1512	1530	1347274
2025-12-31	cymru premier league	Bala Town	Caernarfon Town	110	352	356	1401134
2025-12-31	cymru premier league	Briton Ferry	Barry Town	110	2201	361	1401135
2025-12-31	cymru premier league	GAP Connah S Quay FC	The New Saints	110	357	354	1401136
2025-12-31	saudi arabia	NEOM	Al-Ittihad FC	307	10513	2938	1436015
2025-12-31	saudi arabia	Al Kholood	Al-Hilal Saudi FC	307	10509	2932	1436017
2025-12-31	saudi arabia	Al Shabab	Al-Qadisiyah FC	307	2940	2933	1436016
